task_id,alpha,guidance,seed_idx,noise_seed,tribe_score,clip_score,quality_score,prompt
sobol_000,9.950267791748047,1.9392975568771362,12,0,2.2894070148468018,0.22416327893733978,0.7668857574462891,"Musicians perform on a dark stage under bright spotlights as silhouettes move in the background. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_001,-5.546390533447266,7.6327080726623535,6,1,-6.086889266967773,0.263516902923584,0.8180704116821289,"A rugged coastline drops toward rolling ocean waves under a pale cloudy sky. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_002,-0.3811655044555664,4.20693826675415,7,2,-0.6775937676429749,0.19922897219657898,0.7776757478713989,"Musicians perform on a dark stage under bright spotlights as silhouettes move in the background. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_003,4.785881996154785,9.899765968322754,2,3,-0.9349647760391235,0.23526734113693237,0.8012311458587646,"Musicians perform on a dark stage under bright spotlights as silhouettes move in the background. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_004,0.9357166290283203,5.151909828186035,4,4,-3.7559757232666016,0.26756852865219116,0.799159049987793,"Tall forest trees lean into a misty canopy as light moves through the branches. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_005,-3.9334940910339355,8.313512802124023,13,5,3.5215351581573486,0.3330163061618805,0.7780511379241943,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_006,-8.771417617797852,2.9542956352233887,1,6,-7.351033687591553,0.2880191206932068,0.8144571781158447,"A rugged coastline drops toward rolling ocean waves under a pale cloudy sky. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_007,5.773105621337891,6.116413593292236,10,7,-0.7993831634521484,0.32102468609809875,0.8084332346916199,"A large firework blossoms in a dark blue evening sky above a low horizon. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_008,7.073539733886719,3.606872081756592,0,8,-4.416396617889404,0.3168993592262268,0.8302407264709473,"A large firework blossoms in a dark blue evening sky above a low horizon. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_009,-7.747179985046387,9.304636001586914,9,9,-3.6810169219970703,0.23245678842067719,0.7497081756591797,"Tall forest trees lean into a misty canopy as light moves through the branches. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_010,-2.594792366027832,1.4099774360656738,4,10,-2.647444486618042,0.3055872321128845,0.7414854764938354,"Tall forest trees lean into a misty canopy as light moves through the branches. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
sobol_011,1.920771598815918,7.107224464416504,14,11,-3.793181896209717,0.27900099754333496,0.7618393301963806,"Tall forest trees lean into a misty canopy as light moves through the branches. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo01_cand00,-4.05322665468611,8.140351635528518,13,100,2.306602716445923,0.3665575385093689,0.7510731220245361,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo01_cand01,-3.824248279980673,8.471516306346302,13,101,2.508676052093506,0.3218787908554077,0.7257680892944336,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo02_cand00,7.073539737074842,3.606872081734027,13,200,4.672789096832275,0.3659527897834778,0.7521911263465881,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo02_cand01,-3.978480659458567,7.970993144719676,13,201,4.867763519287109,0.3556194007396698,0.7515339255332947,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo03_cand00,-4.117491031375405,7.798219988230608,13,300,3.2574961185455322,0.35481318831443787,0.8052140474319458,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo03_cand01,7.073539744756169,3.606872091336694,10,301,-2.9498040676116943,0.33626067638397217,0.8134846687316895,"A large firework blossoms in a dark blue evening sky above a low horizon. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo04_cand00,-4.298297524548492,7.777295497300977,13,400,3.94450044631958,0.3645559251308441,0.7575510740280151,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo04_cand01,-3.9674462413204385,7.775296579891158,13,401,5.3993425369262695,0.3547990322113037,0.7496243715286255,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo05_cand00,-4.145028657561458,7.604218550925929,13,500,3.501368761062622,0.3272326588630676,0.774834156036377,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo05_cand01,-2.59479251510615,1.409977671688399,13,501,2.6029913425445557,0.3424040675163269,0.7344388961791992,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo06_cand00,-4.429258334831843,8.009925872586098,13,600,4.041468143463135,0.35603731870651245,0.7534404993057251,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo06_cand01,-4.126247741571361,7.846366130853789,10,601,-0.3898553252220154,0.3131811022758484,0.7818201184272766,"A large firework blossoms in a dark blue evening sky above a low horizon. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo07_cand00,7.073540136587299,3.984996263491325,13,700,3.084498405456543,0.3585599362850189,0.7473725080490112,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo07_cand01,7.073539804387185,3.231098265061827,13,701,6.150869846343994,0.3587421774864197,0.7580204010009766,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo08_cand00,7.0320802603067145,3.215058517948927,13,800,3.7307825088500977,0.35181695222854614,0.7097858190536499,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo08_cand01,-4.108399758149811,6.946358479361203,13,801,2.9997222423553467,0.341850221157074,0.7844418287277222,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo09_cand00,7.091242323062133,3.0321710234875785,13,900,2.226393699645996,0.3570157289505005,0.7279404401779175,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo09_cand01,7.09624617225999,2.484362917120375,10,901,-0.9172407388687134,0.3430338501930237,0.8242279291152954,"A large firework blossoms in a dark blue evening sky above a low horizon. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo10_cand00,-4.113807332766612,7.795188475007049,3,1000,3.266972780227661,0.3620736598968506,0.7580786347389221,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
bo10_cand01,-4.043505625291684,7.822895859854866,13,1001,4.171529293060303,0.3572331964969635,0.7548977732658386,"Blue translucent jellyfish float through bright water with slow drifting motion. Natural realistic short video, clear central subject, continuous motion, stable composition, no text, no watermark."
